ID,NAME,MKT,INDUSTRY_NAME_1,INDUSTRY_NAME_2
3623,富晶通,OTC,光電/ IO,觸控面板
3622,洋華,TSE,光電/ IO,觸控面板
3617,碩天,TSE,電子零組件,電源供應器
3615,安可,OTC,光電/ IO,觸控面板
3611,鼎翰,OTC,主機板,POS
3609,東林,OTC,家電製品,照明
3607,谷崧,TSE,電子零組件,機殼
3605,宏致,TSE,電子零組件,連接器
3596,智易,TSE,網路設備,數據機
3594,磐儀,OTC,主機板,工業電腦
3593,力銘,TSE,電子零組件,機殼
3591,艾笛森,TSE,光電/ IO,封裝及應用
3588,通嘉,TSE,半導體,IC設計
3587,閎康,OTC,半導體,IC設計
3583,辛耘,TSE,電子設備,電機設備
3581,博磊,OTC,電子設備,電機設備
3580,友威科,OTC,電子設備,電機設備
3577,泓格,OTC,主機板,工業電腦
3576,聯合再生,TSE,光電/ IO,太陽能電池
3570,大塚,OTC,軟體服務,系統整合
3567,逸昌,OTC,半導體,IC封測
3564,其陽,OTC,主機板,工業電腦
3563,牧德,TSE,電子設備,電機設備
3562,頂晶科,OTC,光電/ IO,太陽能模組
3558,神準,OTC,網路設備,數據機
3557,嘉威,TSE,光電/ IO,LCD 原料
3556,禾瑞亞,OTC,半導體,IC設計
3555,重鵬,OTC,半導體,記憶體模組
3552,同致,OTC,汽車組件,汽車組件
3551,世禾,OTC,電子設備,電機設備
3550,聯穎,TSE,電子零組件,連接器
3548,兆利,OTC,電子零組件,機殼
3546,宇峻,OTC,軟體服務,應用軟體
3545,敦泰,TSE,半導體,IC設計
3541,西柏,OTC,光電/ IO,PC週邊
3540,曜越,OTC,電子零組件,機殼
3537,堡達,OTC,資訊通路,零組件代理
3536,誠創,TSE,電子零組件,二極體整流
3535,晶彩科,TSE,電子設備,電機設備
3533,嘉澤,TSE,電子零組件,連接器
3532,台勝科,TSE,半導體,晶圓材料
3531,先益,OTC,光電/ IO,背光模組
3530,晶相光,TSE,半導體,IC設計
3529,力旺,OTC,半導體,IC設計
3528,安馳,TSE,資訊通路,零組件代理
3527,聚積,OTC,半導體,IC設計
3526,凡甲,OTC,電子零組件,連接器
3523,迎輝,OTC,光電/ IO,LCD 原料
3522,御頂,OTC,餐飲飯店,餐飲業
3521,鴻翊,OTC,主機板,POS
3520,振維,OTC,電子零組件,連接器
3518,柏騰,TSE,電子設備,電機設備
3516,亞帝歐,OTC,家電製品,照明
3515,華擎,TSE,主機板,主機板
3512,皇龍,OTC,建設,建設
3511,矽瑪,OTC,電子零組件,連接器
3508,位速,OTC,電子零組件,沖壓零組件
3504,揚明光,TSE,光電/ IO,光學投影
3501,維熹,TSE,電子零組件,連接器
3499,環天科,OTC,通訊設備,衛星通訊
3498,陽程,OTC,電子設備,電機設備
3494,誠研,TSE,資訊通路,3C通路
3492,長盛,OTC,電子零組件,連接器
3491,昇達科,OTC,通訊設備,通訊設備
3490,單井,OTC,電子設備,電機設備
3489,森寶,OTC,建設,建設
3484,崧騰,OTC,電子零組件,連接器
3483,力致,OTC,電子零組件,散熱零組件
3481,群創,TSE,光電/ IO,LCD 面板
3479,安勤,OTC,主機板,工業電腦
3466,致振,OTC,通訊設備,通訊設備
3465,進泰電子,OTC,消費性電子,音響設備
3455,由田,OTC,電子設備,電機設備
3454,晶睿,TSE,光電/ IO,監控系統
3452,益通,OTC,光電/ IO,太陽能電池
3450,聯鈞,TSE,通訊設備,光纖通訊
3444,利機,OTC,資訊通路,零組件代理
3443,創意,TSE,半導體,IC設計
3441,聯一光,OTC,消費性電子,照相機
3438,類比科,OTC,半導體,IC設計
3437,榮創,TSE,光電/ IO,封裝及應用
3434,哲固,OTC,光電/ IO,監視器
3432,台端,TSE,電子零組件,連接器
3431,長天,OTC,通訊設備,衛星通訊
3426,台興,OTC,電子零組件,被動元件
3419,譁裕,TSE,電子零組件,連接器
3416,融程電,TSE,主機板,工業電腦
3413,京鼎,TSE,電子設備,電機設備
3406,玉晶光,TSE,消費性電子,照相機
3402,漢科,OTC,電子設備,廠辦機電
3390,旭軟,OTC,主機板,軟板
3388,崇越電,OTC,資訊通路,零組件代理
3383,新世紀,TSE,光電/ IO,磊晶及晶粒
3380,明泰,TSE,網路設備,網路卡
3379,彬台,OTC,其他電製品,其他電製品
3376,新日興,TSE,電子零組件,機殼
3374,精材,OTC,半導體,IC封測
3373,熱映,OTC,醫療耗材,醫療耗材
3372,典範,OTC,半導體,IC封測
3363,上詮,OTC,通訊設備,光纖通訊
3362,先進光,OTC,消費性電子,照相機
3360,尚立,OTC,資訊通路,零組件代理
3356,奇偶,TSE,光電/ IO,監控系統
3354,律勝,OTC,主機板,FCCL
3346,麗清,TSE,光電/ IO,封裝及應用
3339,泰谷,OTC,光電/ IO,磊晶及晶粒
3338,泰碩,TSE,電子零組件,散熱零組件
3332,幸康,OTC,電子零組件,電源供應器
3325,旭品,OTC,電子零組件,機殼
3324,雙鴻,OTC,電子零組件,散熱零組件
3323,加百裕,OTC,電子零組件,3C二次電池
3322,建舜電,OTC,電子零組件,連接器
3321,同泰,TSE,主機板,軟板
3317,尼克森,OTC,半導體,IC設計
3313,斐成,OTC,電子零組件,被動元件
3312,弘憶股,TSE,資訊通路,零組件代理
3311,閎暉,TSE,電子零組件,機殼
3310,佳穎,OTC,建設,建設
3308,聯德,TSE,電子零組件,電源供應器
3306,鼎天,OTC,通訊設備,衛星通訊
3305,昇貿,TSE,主機板,PCB上-其他
3303,岱稜,OTC,其他電子,其他電子
3297,杭特,OTC,光電/ IO,監控系統
3296,勝德,TSE,電子零組件,電源供應器
3294,英濟,OTC,電子零組件,機殼
3293,鈊象,OTC,軟體服務,應用軟體
3290,東浦,OTC,光電/ IO,觸控面板
3289,宜特,OTC,半導體,IC設計
3288,點晶,OTC,半導體,IC設計
3287,廣寰科,OTC,主機板,電視卡
3285,微端,OTC,消費性電子,音響設備
3284,太普高,OTC,印刷,印刷
3276,宇環,OTC,主機板,軟板
3272,東碩,OTC,光電/ IO,PC週邊
3268,海德威,OTC,半導體,IC設計
3266,昇陽,TSE,建設,建設
3265,台星科,OTC,半導體,IC封測
3264,欣銓,OTC,半導體,IC封測
3260,威剛,OTC,半導體,記憶體模組
3259,鑫創,OTC,半導體,IC設計
3257,虹冠電,TSE,半導體,IC設計
3252,海灣,OTC,建設,建設
3236,千如,OTC,電子零組件,被動元件
3234,光環,OTC,通訊設備,光纖通訊
3232,昱捷,OTC,資訊通路,零組件代理
3231,緯創,TSE,PC系統,NB
3230,錦明,OTC,電子零組件,機殼
3229,晟鈦,TSE,主機板,PCB
3228,金麗科,OTC,半導體,IC設計
3227,原相,OTC,半導體,IC設計
3226,至寶電,OTC,汽車組件,汽車組件
3224,三顧,OTC,資訊通路,零組件代理
3221,台嘉碩,OTC,電子零組件,石英元件
3219,倚強,OTC,半導體,IC設計
3218,大學光,OTC,醫療耗材,醫療耗材
3217,優群,OTC,電子零組件,連接器
3213,茂訊,OTC,PC系統,NB
3211,順達,OTC,電子零組件,3C二次電池
3209,全科,TSE,資訊通路,零組件代理
3207,耀勝,OTC,電子零組件,電源供應器
3206,志豐,OTC,消費性電子,音響設備
3205,佰研,OTC,藥,機能性食品
3202,樺晟,OTC,電子零組件,連接器
3191,和進,OTC,電子零組件,其他零組件
3189,景碩,TSE,主機板,IC載板
3188,鑫龍騰,OTC,建設,建設
3178,公準,OTC,電子設備,電機設備
3176,基亞,OTC,藥,西藥
3171,新洲,OTC,石化,膠帶
3169,亞信,OTC,半導體,IC設計
3167,大量,TSE,電子設備,電機設備
